Регион: все регионы
Показатель: Уровень резервирования по кредитному портфелю

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
327;-7;Первоуральскбанк;965;Свердловская обл.;4,53;4,96;-0,43;
328;4;БМВ Банк;3482;Москва и обл.;4,47;4,54;-0,07;
329;4;Байкалкредобанк;2990;Иркутская обл.;4,43;4,44;-0,01;
330;13;Евроазиатский Инвестиционный Банк;2897;Москва и обл.;4,41;3,79;0,62;
331;5;Тойота Банк;3470;Москва и обл.;4,39;4,36;0,03;
332;-2;Саровбизнесбанк;2048;Нижегородская обл.;4,38;4,70;-0,31;
333;12;Руснарбанк;3403;Москва и обл.;4,19;3,67;0,52;
334;4;Проинвестбанк;784;Пермская обл.;4,16;4,29;-0,13;
335;0;Химик;1114;Нижегородская обл.;4,09;4,38;-0,29;
336;1;Веста;2368;Москва и обл.;4,08;4,33;-0,25;
337;2;Почтобанк;1788;Пермская обл.;4,07;3,88;0,19;
338;10;Банк Кремлевский;2905;Москва и обл.;3,89;3,43;0,46;
339;3;Земский Банк;2900;Самарская обл.;3,79;3,82;-0,03;
340;-65;Севзапинвестпромбанк;2152;Санкт-Петербург и обл.;3,73;7,36;-3,64;
341;5;Фольксваген Банк Рус;3500;Москва и обл.;3,69;3,58;0,12;
342;-2;Банк Жилищного Финансирования;3138;Москва и обл.;3,57;3,84;-0,27;
343;-2;Росдорбанк;1573;Москва и обл.;3,57;3,83;-0,25;
344;8;Яринтербанк;2564;Ярославская обл.;3,49;3,07;0,41;
345;9;Мурманский Социальный Коммерческий Банк;2722;Мурманская обл.;3,29;3,02;0,27;
346;-2;Икано Банк;3519;Москва и обл.;3,13;3,75;-0,61;
347;3;Нацинвестпромбанк;3077;Москва и обл.;3,12;3,13;-0,01;
348;3;Долинск;857;Сахалинская обл.;3,00;3,10;-0,10;
349;-2;Нордеа Банк;3016;Москва и обл.;2,84;3,48;-0,64;
350;5;Примтеркомбанк;21;Приморский край;2,84;2,88;-0,04;
351;7;Ситибанк;2557;Москва и обл.;2,83;2,79;0,04;
352;5;Аверс;415;Татарстан;2,69;2,79;-0,10;
353;10;Космос;2245;Москва и обл.;2,54;2,14;0,40;
354;7;Всероссийский Банк Развития Регионов;3287;Москва и обл.;2,41;2,41;0,00;
355;7;Банк Стандарт-Кредит;841;Москва и обл.;2,29;2,32;-0,03;
356;3;Тендер-Банк;2252;Москва и обл.;2,26;2,65;-0,39;
