Регион: все регионы
Показатель: Рентабельность капитала

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
284;-1;Народный Инвестиционный Банк;2876;Самарская обл.;0,42;0,26;0,16;
285;2;Нацинвестпромбанк;3077;Москва и обл.;0,39;0,19;0,20;
286;-15;Объединенный Резервный Банк;937;Москва и обл.;0,34;0,76;-0,42;
287;7;Банк БКФ;2684;Москва и обл.;0,24;-0,24;0,48;
288;2;Вятич;2796;Рязанская обл.;0,22;0,03;0,19;
289;-11;Союз;2307;Москва и обл.;0,18;0,49;-0,31;
290;-14;Банк Берейт;3505;Санкт-Петербург и обл.;0,16;0,58;-0,42;
291;-42;Славия;2664;Москва и обл.;0,14;1,86;-1,72;
292;-4;Геобанк;2027;Москва и обл.;0,13;0,13;0,00;
293;-2;Инэко;3520;Ивановская обл.;0,03;0,03;0,00;
294;-2;Монета.ру;3508;Марий Эл;-0,05;-0,14;0,09;
295;22;МТС Банк;2268;Москва и обл.;-0,17;-1,69;1,52;
296;12;Азия-Инвест Банк;3303;Москва и обл.;-0,19;-1,08;0,89;
297;-2;Чайнасельхозбанк;3529;Москва и обл.;-0,20;-0,29;0,09;
298;2;ИНГ Банк;2495;Москва и обл.;-0,21;-0,47;0,26;
299;-19;Севзапинвестпромбанк;2152;Санкт-Петербург и обл.;-0,23;0,46;-0,69;
300;-3;Ноосфера;2650;Республика Алтай;-0,40;-0,39;-0,01;
301;-5;Нордеа Банк;3016;Москва и обл.;-0,50;-0,33;-0,17;
302;-50;Межбанковский Кредитный Союз;3242;Москва и обл.;-0,60;1,57;-2,17;
303;-18;Консервативный Коммерческий Банк;1087;Астраханская обл.;-0,79;0,22;-1,01;
304;-1;Рента-Банк;3095;Москва и обл.;-0,84;-0,67;-0,17;
305;2;Кубаньторгбанк;478;Краснодарский край;-0,85;-0,93;0,08;
306;-13;Урал ФД;249;Пермская обл.;-0,87;-0,14;-0,73;
307;-23;Евроазиатский Инвестиционный Банк;2897;Москва и обл.;-0,91;0,22;-1,13;
308;16;МТИ Банк;1052;Москва и обл.;-0,99;-2,16;1,17;
309;-56;Гефест;1046;Тверская обл.;-1,03;1,54;-2,57;
310;-1;Натиксис Банк;3390;Москва и обл.;-1,07;-1,16;0,09;
311;-6;Северстройбанк;3507;Вологодская обл.;-1,09;-0,84;-0,25;
312;-2;Социум-Банк;2881;Москва и обл.;-1,32;-1,17;-0,15;
313;-2;Йошкар-Ола;2802;Марий Эл;-1,45;-1,32;-0,13;
314;6;НК Банк;2755;Москва и обл.;-1,60;-1,93;0,33;
315;-3;Земкомбанк;574;Ростовская обл.;-1,69;-1,33;-0,36;
316;6;Агора;3231;Москва и обл.;-1,76;-2,07;0,31;
