Регион: все регионы
Показатель: Рентабельность активов-нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
217;11;Датабанк;646;Удмуртия;0,75;0,65;0,10;
218;-9;Александровский;53;Санкт-Петербург и обл.;0,74;0,83;-0,09;
219;8;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;0,73;0,66;0,07;
220;2;Мегаполис;3265;Чувашия;0,72;0,70;0,02;
221;8;Первый Дортрансбанк;3271;Кировская обл.;0,72;0,64;0,08;
222;-70;Вкабанк;1027;Астраханская обл.;0,71;1,23;-0,52;
223;-8;Банк Пермь;875;Пермская обл.;0,70;0,75;-0,05;
224;27;Нефтепромбанк;2156;Москва и обл.;0,70;0,45;0,25;
225;-84;Русский Стандарт;2289;Москва и обл.;0,70;1,41;-0,71;
226;-9;Кредит Урал Банк;2584;Челябинская обл.;0,67;0,74;-0,07;
227;-8;Энерготрансбанк;1307;Калининградская обл.;0,66;0,72;-0,06;
228;5;Ак Барс;2590;Татарстан;0,65;0,62;0,03;
229;46;Байкалкредобанк;2990;Иркутская обл.;0,64;0,16;0,48;
230;96;ОТП Банк;2766;Москва и обл.;0,64;-0,53;1,17;
231;9;Приобье;537;Ханты-Мансийский АО — Югра;0,64;0,55;0,09;
232;-1;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;0,63;0,63;0,00;
233;25;Экономбанк;1319;Саратовская обл.;0,60;0,38;0,22;
234;8;Национальная Факторинговая Компания;3437;Москва и обл.;0,59;0,50;0,09;
235;88;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;0,58;-0,39;0,97;
236;13;Национальный Стандарт;3421;Москва и обл.;0,56;0,47;0,09;
237;91;Русское Финансовое Общество;3427;Москва и обл.;0,56;-0,55;1,11;
238;33;Совкомбанк;963;Костромская обл.;0,56;0,22;0,34;
239;-4;Морской Банк;77;Москва и обл.;0,55;0,59;-0,04;
240;-15;Алмазэргиэнбанк;2602;Саха (Якутия);0,53;0,66;-0,13;
241;-2;Трансстройбанк;2807;Москва и обл.;0,53;0,56;-0,03;
242;-37;Дойче Банк;3328;Москва и обл.;0,52;0,87;-0,35;
243;-6;ПэйПал Ру;3517;Москва и обл.;0,51;0,58;-0,07;
244;9;Химик;1114;Нижегородская обл.;0,51;0,43;0,08;
245;-11;СКБ-Банк;705;Свердловская обл.;0,49;0,60;-0,11;
246;47;Соколовский;2830;Москва и обл.;0,49;0,05;0,44;
247;-3;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;0,49;0,49;0,00;
248;-28;Агропромкредит;2880;Москва и обл.;0,46;0,71;-0,25;
249;3;Ишбанк;2867;Москва и обл.;0,46;0,44;0,02;
250;-29;НС Банк;3124;Москва и обл.;0,45;0,71;-0,26;
251;-25;Донкомбанк;492;Ростовская обл.;0,44;0,66;-0,22;
252;8;Банк Казани;708;Татарстан;0,43;0,34;0,09;
253;-8;Енисейский Объединенный Банк;2645;Красноярский край;0,43;0,48;-0,05;
254;0;Великие Луки Банк;598;Псковская обл.;0,42;0,40;0,02;
255;14;МВС Банк;2407;Дагестан;0,42;0,22;0,20;
256;-20;Примтеркомбанк;21;Приморский край;0,42;0,59;-0,17;
257;-7;ВТБ;1000;Санкт-Петербург и обл.;0,41;0,46;-0,05;
258;4;Костромаселькомбанк;1115;Костромская обл.;0,39;0,34;0,05;
259;-13;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;0,39;0,48;-0,09;
260;25;Ури Банк;3479;Москва и обл.;0,38;0,11;0,27;
261;19;Газнефтьбанк;3223;Саратовская обл.;0,37;0,13;0,24;
262;-5;Национальный Клиринговый Центр;3466;Москва и обл.;0,37;0,39;-0,02;
263;44;Почтобанк;1788;Пермская обл.;0,37;-0,12;0,49;
264;-9;Газпромбанк;354;Москва и обл.;0,36;0,40;-0,04;
265;-6;Экси-Банк;2530;Санкт-Петербург и обл.;0,36;0,37;-0,01;
266;1;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;0,33;0,23;0,10;
267;14;Московский Кредитный Банк;1978;Москва и обл.;0,30;0,12;0,18;
268;9;Нейва;1293;Свердловская обл.;0,27;0,15;0,12;
269;-81;Викинг;2;Санкт-Петербург и обл.;0,25;0,95;-0,70;
270;-5;Актив Банк;2529;Мордовия;0,24;0,27;-0,03;
271;32;Северный Народный Банк;2721;Коми;0,24;-0,07;0,31;
272;18;Роскосмосбанк;2989;Москва и обл.;0,23;0,06;0,17;
273;5;Далена Банк;1948;Москва и обл.;0,22;0,14;0,08;
274;27;Гарант-Инвест;2576;Москва и обл.;0,20;-0,06;0,26;
275;7;Народный Инвестиционный Банк;2876;Самарская обл.;0,20;0,12;0,08;
276;-35;Промсельхозбанк;538;Москва и обл.;0,20;0,52;-0,32;
277;-4;Единая Расчетная Палата;384;Москва и обл.;0,18;0,18;0,00;
278;-4;ПэйЮ;3518;Москва и обл.;0,16;0,18;-0,02;
279;23;Ставропольпромстройбанк;1288;Ставропольский край;0,14;-0,06;0,20;
280;-33;Банк Берейт;3505;Санкт-Петербург и обл.;0,13;0,47;-0,34;
281;-2;Банк Оренбург;3269;Оренбургская обл.;0,13;0,13;0,00;
282;-21;Банк РСИ;3415;Москва и обл.;0,13;0,34;-0,21;
283;0;Россельхозбанк;3349;Москва и обл.;0,13;0,12;0,01;
284;25;Банк Интеза;2216;Москва и обл.;0,12;-0,17;0,29;
285;-1;Банк Оранжевый;1659;Санкт-Петербург и обл.;0,11;0,11;0,00;
286;11;Вятич;2796;Рязанская обл.;0,10;0,01;0,09;
287;-11;МСП Банк;3340;Москва и обл.;0,10;0,15;-0,05;
288;-25;Абсолют Банк;2306;Москва и обл.;0,09;0,30;-0,21;
289;24;Восточный Банк;1460;Амурская обл.;0,09;-0,21;0,30;
290;16;Итуруп;2390;Сахалинская обл.;0,09;-0,11;0,20;
291;3;Нацинвестпромбанк;3077;Москва и обл.;0,08;0,04;0,04;
292;-24;Инбанк;1829;Москва и обл.;0,07;0,22;-0,15;
293;-4;Геобанк;2027;Москва и обл.;0,06;0,06;0,00;
294;-7;Объединенный Резервный Банк;937;Москва и обл.;0,04;0,09;-0,05;
295;27;ФинТех;3499;Москва и обл.;0,04;-0,36;0,40;
296;3;Банк БКФ;2684;Москва и обл.;0,03;-0,03;0,06;
297;-2;Инэко;3520;Ивановская обл.;0,03;0,03;0,00;
298;-32;Славия;2664;Москва и обл.;0,02;0,26;-0,24;
299;-8;Союз;2307;Москва и обл.;0,02;0,06;-0,04;
300;0;Монета.ру;3508;Марий Эл;-0,02;-0,04;0,02;
301;18;МТС Банк;2268;Москва и обл.;-0,03;-0,28;0,25;
302;14;Азия-Инвест Банк;3303;Москва и обл.;-0,04;-0,24;0,20;
303;1;ИНГ Банк;2495;Москва и обл.;-0,04;-0,08;0,04;
304;-8;Консервативный Коммерческий Банк;1087;Астраханская обл.;-0,06;0,02;-0,08;
305;0;Ноосфера;2650;Республика Алтай;-0,08;-0,08;0,00;
